Year,CPI,Annual Inflation rate
1980,59.2,8.5
1981,64.0,8.2
1982,66.5,3.9
1983,67.2,1.2
1984,69.0,2.6
1985,69.3,0.5
1986,68.4,-1.4
1987,68.7,0.5
1988,69.7,1.5
1989,71.3,2.4
1990,73.8,3.4
1991,76.3,3.4
1992,78.1,2.3
1993,79.8,2.3
1994,82.3,3.1
1995,83.7,1.7
1996,84.9,1.4
1997,86.6,2.0
1998,86.4,-0.3
1999,86.4,0.0
2000,87.6,1.3
2001,88.4,1.0
2002,88.1,-0.4
2003,88.5,0.5
2004,90.0,1.7
2005,90.4,0.5
2006,91.3,1.0
2007,93.2,2.1
2008,99.4,6.6
2009,100.0,0.6
2010,102.8,2.8
2011,108.2,5.2
2012,113.1,4.6
2013,115.8,2.4
