"School","Scholarship","Gender","Course","Organisation","ScholarshipTemp","CourseTemp"
"Raffles Institution","SAF's Scholarship","Male","Humanities","Ministries","SAF Overseas Scholarship","Humanities"
"Hwa Chong Institution","Others","Male","Engineering","Ministries","Local Merit Scholarship (Open)","Engineering"
"Others","Overseas Merit Scholarship","Female","Humanities","Ministries","Overseas Merit Scholarship (Teaching)","Humanities"
"Hwa Chong Institution","Others","Male","Engineering","Others","Local Merit Scholarship (Open)","Engineering"
"Others","Others","Unknown","Science","Others","Local Merit Scholarship (Open)","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Teaching)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Others","Male","Engineering","Ministries","Local Merit Scholarship (Open)","Engineering"
"Others","Others","Unknown","Engineering","Others","Local Merit Scholarship (Open)","Engineering"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Victoria Junior College","Others","Male","Engineering","Ministries","SPF Overseas Scholarship","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Foreign Service)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","PMO","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","Ministries","Overseas Merit Scholarship (Open)","Unknown"
"Others","Others","Unknown","Engineering","Others","Local Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Open)","Computer Science"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Science","PMO","Overseas Merit Scholarship (Teaching)","Science"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Open)","Computer Science"
"Others","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Teaching)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Others","Male","Engineering","PMO","Local Merit Scholarship (Open)","Engineering"
"Raffles Institution","Others","Unknown","Economics","Others","SPF Overseas Scholarship","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","AGC","Overseas Merit Scholarship (Open)","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Victoria Junior College","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Others","Unknown","Humanities","Others","Local Merit Scholarship (Open)","Humanities"
"Others","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Others","Unknown","Engineering","Others","Local Merit Scholarship (Open)","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Teaching)","Humanities"
"Raffles Institution","Others","Female","Others","AGC","President's Scholarship","Law"
"Victoria Junior College","Others","Unknown","Engineering","Others","Local Merit Scholarship (Open)","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Unknown","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Others","Unknown","Engineering","Others","President's Scholarship","Engineering"
"Others","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Unknown","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Raffles Institution","SAF's Scholarship","Unknown","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Humanities","PMO","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Others","Unknown","Engineering","Others","SPF Overseas Scholarship","Engineering"
"Victoria Junior College","Others","Unknown","Engineering","Others","Local Merit Scholarship (Open)","Engineering"
"Raffles Institution","Others","Unknown","Engineering","Others","Local Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","PMO","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Unknown","Humanities","Others","Overseas Merit Scholarship (Teaching)","Humanities"
"Raffles Institution","Others","Male","Engineering","Ministries","President's Scholarship","Engineering"
"Raffles Institution","Others","Unknown","Science","Others","Local Merit Scholarship (Open)","Computer Science"
"Others","Overseas Merit Scholarship","Unknown","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering and Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","PMO","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","SAF's Scholarship","Male","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Others","Others","Unknown","Engineering","Others","Local Merit Scholarship (Open)","Engineering"
"Others","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Hwa Chong Institution","Others","Male","Others","Ministries","Local - Overseas Merit Scholarship (Teaching)","Mathematics"
"Hwa Chong Institution","Others","Female","Economics","Ministries","President's Scholarship","Economics"
"Victoria Junior College","Overseas Merit Scholarship","Male","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Others","Others","Unknown","Others","Others","Local - Overseas Merit Scholarship (Teaching)","Mathematics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","AGC","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Science","Others","Overseas Merit Scholarship (Teaching)","Computer Science"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Science","PMO","Overseas Merit Scholarship (Open)","Science"
"Others","Others","Male","Others","Ministries","President's Scholarship","Medicine"
"Victoria Junior College","Overseas Merit Scholarship","Female","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering and Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering and Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Others","Male","Engineering","Ministries","SPF Overseas Scholarship","Engineering"
"Others","Overseas Merit Scholarship","Male","Engineering","PMO","Overseas Merit Scholarship (Open)","Engineering and Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Foreign Service)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Female","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Ministries","Overseas Merit Scholarship (Foreign Service)","Humanities"
"Victoria Junior College","Overseas Merit Scholarship","Male","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","SAF's Scholarship","Male","Others","Others","SAF Overseas Scholarship","Mathematics"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Victoria Junior College","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Others","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Teaching)","Economics"
"Others","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Science","Ministries","Overseas Merit Scholarship (Teaching)","Science"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Others","Ministries","Overseas Merit Scholarship (Teaching)","Mathematics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","PMO","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Hwa Chong Institution","SAF's Scholarship","Male","Economics","Ministries","SAF Overseas Scholarship","Economics"
"Victoria Junior College","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Male","Economics","PMO","Overseas Merit Scholarship (Teaching)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Others","Overseas Merit Scholarship","Male","Others","Ministries","Overseas Merit Scholarship (Teaching)","Mathematics"
"Victoria Junior College","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Others","Male","Science","Ministries","SPF Overseas Scholarship","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","Others","Male","Economics","Ministries","President's Scholarship","Economics"
"Raffles Institution","Others","Male","Humanities","Ministries","President's Scholarship","Humanities"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Others","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Others","Male","Economics","Ministries","President's Scholarship","Economics"
"Hwa Chong Institution","Others","Female","Humanities","Ministries","President's Scholarship","Humanities"
